from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
112,112,,,245977524597754+227231+0,245977524597754+227144+0,1,
112,112,,,245977524597754+227237+0,245977524597754+227145+0,1,
124,124,,,245977524597754+227369+0,245977524597754+227160+0,1,
124,124,,,245977524597754+227660+0,245977524597754+227160+0,1,
124,124,,,245977524597754+227374+0,245977524597754+227166+1,1,
124,124,,,245977524597754+227387+1,245977524597754+227176+1,1,
124,124,,,245977524597754+227395+1,245977524597754+227198+1,1,
124,124,,,245977524597754+227423+1,245977524597754+227224+1,1,
124,124,,,245977524597754+227436+1,245977524597754+227231+0,1,
124,124,,,245977524597754+227447+0,245977524597754+227237+0,1,
124,124,,,245977524597754+227610+0,245977524597754+227237+0,1,
124,124,,,245977524597754+227456+0,245977524597754+227246+0,1,
124,124,,,245977524597754+227613+0,245977524597754+227246+0,1,
124,124,,,245977524597754+227461+0,245977524597754+227247+0,1,
124,124,,,245977524597754+227464+0,245977524597754+227248+0,1,
124,124,,,245977524597754+227617+0,245977524597754+227248+0,1,
124,124,,,245977524597754+227469+0,245977524597754+227250+0,1,
124,124,,,245977524597754+227474+0,245977524597754+227251+0,1,
124,124,,,245977524597754+227621+0,245977524597754+227251+0,1,
124,124,,,245977524597754+227481+0,245977524597754+227252+0,1,
124,124,,,245977524597754+227484+0,245977524597754+227254+0,1,
124,124,,,245977524597754+227625+0,245977524597754+227254+0,1,
124,124,,,245977524597754+227490+0,245977524597754+227260+0,1,
124,124,,,245977524597754+227494+0,245977524597754+227264+0,1,
124,124,,,245977524597754+227628+0,245977524597754+227264+0,1,
124,124,,,245977524597754+227498+0,245977524597754+227265+0,1,
124,124,,,245977524597754+227501+0,245977524597754+227266+0,1,
124,124,,,245977524597754+227631+0,245977524597754+227266+0,1,
124,124,,,245977524597754+227506+0,245977524597754+227268+0,1,
124,124,,,245977524597754+227513+0,245977524597754+227273+0,1,
124,124,,,245977524597754+227635+0,245977524597754+227273+0,1,
124,124,,,245977524597754+227518+0,245977524597754+227274+0,1,
124,124,,,245977524597754+227524+0,245977524597754+227279+0,1,
124,124,,,245977524597754+227532+0,245977524597754+227281+0,1,
124,124,,,245977524597754+227537+0,245977524597754+227282+0,1,
124,124,,,245977524597754+227543+0,245977524597754+227286+0,1,
124,124,,,245977524597754+227547+0,245977524597754+227290+0,1,
124,124,,,245977524597754+227555+0,245977524597754+227296+0,1,
124,124,,,245977524597754+227645+0,245977524597754+227296+0,1,
124,124,,,245977524597754+227700+0,245977524597754+227300+0,1,
124,124,,,245977524597754+227563+0,245977524597754+227308+0,1,
124,124,,,245977524597754+227649+0,245977524597754+227308+0,1,
124,124,,,245977524597754+227577+0,245977524597754+227323+0,1,
124,124,,,245977524597754+227653+0,245977524597754+227323+0,1,
124,124,,,245977524597754+227581+0,245977524597754+227325+0,1,
124,124,,,245977524597754+227656+0,245977524597754+227325+0,1,
124,124,,,245977524597754+227188+0,245977524597754+227344+0,1,
124,124,,,245977524597754+227671+1,245977524597754+227354+1,1,
124,124,,,245977524597754+227613+0,245977524597754+227358+0,1,
124,124,,,245977524597754+227660+0,245977524597754+227369+0,1,
131,131,,,245977524597754+227708+0,245977524597754+227369+0,1,
