route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
2,245979324598045,245979324598045+227990+1,Southeast,4661,0,,14,0,1
2,245984224598521,245984224598521+227990+1,Southeast,4661,0,,14,0,1
2,245981424598251,245981424598251+227990+1,Southeast,4661,0,,14,0,1
2,245985624599021,245985624599021+227990+1,Southeast,4661,0,,14,0,1
2,245980724598101,245980724598101+227990+1,Southeast,4661,0,,14,0,1
2,245984624598535,245984624598535+227991+1,Southeast,4661,0,,14,0,1
2,245981124598115,245981124598115+227991+1,Southeast,4661,0,,14,0,1
2,245983524599021,245983524599021+228052+1,Grand Central Terminal,514,1,,3,0,1
2,245979324598041,245979324598041+228163+1,North White Plains,551,0,,14,0,1
2,245977524597754,245977524597754+228163+1,North White Plains,551,0,,14,1,1
2,245977924597834,245977924597834+228163+1,North White Plains,551,0,,14,0,1
2,245982924598313,245982924598313+228163+1,North White Plains,551,0,,14,0,1
2,245977924597832,245977924597832+228163+1,North White Plains,551,0,,14,0,1
2,245978624597892,245978624597892+228163+1,North White Plains,551,0,,14,0,1
3,245977924597835,245977924597835+227441+0,New Haven,1538,0,,16,0,0
3,245979524597973,245979524597973+227441+0,New Haven,1538,0,,16,0,0
3,245979524597974,245979524597974+227441+0,New Haven,1538,0,,16,0,0
3,245981624598183,245981624598183+227441+0,New Haven,1538,0,,16,0,0
3,245984924598521,245984924598521+227441+0,New Haven,1538,0,,16,0,0
3,245985624599022,245985624599022+227441+0,New Haven,1538,0,,16,0,0
3,245984924598523,245984924598523+227441+0,New Haven,1538,0,,16,0,0
3,245984924598524,245984924598524+227441+0,New Haven,1538,0,,16,0,0
3,245977924597832,245977924597832+227441+0,New Haven,1538,0,,16,0,0
3,245980024598041,245980024598041+227441+0,New Haven,1538,0,,16,0,0
3,245982124598251,245982124598251+227441+0,New Haven,1538,0,,16,0,0
3,245977624597765,245977624597765+227470+0,Grand Central Terminal,1553,1,,5,1,0
